Date,stocks,gold,bonds,property
2012-10-15,144.0800,168.3500,112.3800,65.2000
2012-10-16,145.5400,169.4200,112.2000,65.6000
2012-10-17,146.2000,169.5400,111.8500,65.4200
2012-10-18,145.8200,168.7900,111.8100,66.0900
2012-10-19,143.3900,166.9700,111.9500,65.5400
2012-10-22,143.4100,167.5800,111.8000,65.2100
2012-10-23,141.4200,165.4300,112.0500,64.5500
2012-10-24,141.0200,164.8600,111.9700,64.5000
2012-10-25,141.4300,166.0200,111.7300,64.3200
2012-10-26,141.3500,165.9300,112.0300,63.7600
2012-10-31,141.3500,166.8300,112.1900,64.3800
2012-11-01,142.8300,166.0700,111.8000,64.6900
2012-11-02,141.5600,162.6000,111.8700,65.1200
2012-11-05,141.8500,163.2300,112.0600,64.6900
2012-11-06,142.9600,166.3000,111.7400,64.9700
2012-11-07,139.7200,166.4900,112.0000,64.6800
2012-11-08,138.0400,167.9900,112.1400,63.9100
2012-11-09,138.1600,167.8200,112.0800,63.7400
2012-11-12,138.2700,167.4500,112.0500,63.5900
2012-11-13,137.7900,167.1000,112.2500,63.5400
2012-11-14,135.9300,167.1400,112.2800,62.3500
2012-11-15,135.7000,166.0900,112.1700,62.0600
2012-11-16,136.3700,165.8800,112.2100,62.4400
2012-11-19,139.1300,167.8700,112.2900,63.2100
2012-11-20,139.1900,167.3900,112.0800,63.6800
2012-11-21,139.4500,167.5600,111.8900,63.5700
2012-11-23,141.3500,169.6100,111.9600,64.0400
2012-11-26,141.0500,169.4300,112.0000,64.1700
2012-11-27,140.3300,168.7100,112.1500,63.8100
2012-11-28,141.4600,166.5500,112.1700,63.7300
2012-11-29,142.1200,167.1800,112.3100,64.0800
2012-11-30,142.1500,166.0500,112.2500,64.2100
2012-12-03,141.4500,166.1300,111.6000,64.4700
2012-12-04,141.2500,164.4200,111.6700,64.5700
2012-12-05,141.5000,164.1200,111.7700,64.3700
2012-12-06,141.9800,164.5000,111.7600,64.9700
2012-12-07,142.4100,165.1600,111.6600,65.2100
2012-12-10,142.4700,165.8000,111.6800,65.1800
2012-12-11,143.4400,165.6500,111.6400,65.3400
2012-12-12,143.5100,165.7700,111.3300,65.1600
2012-12-13,142.6300,164.3700,111.1500,64.6600
2012-12-14,142.1000,164.1300,111.3500,64.6500
2012-12-17,143.7700,164.4400,111.0800,64.9900
2012-12-18,145.3700,162.0800,110.8200,65.6600
2012-12-19,144.2900,161.6900,111.0100,65.5700
2012-12-20,145.1200,159.7300,111.0200,66.4300
2012-12-21,142.7900,160.3300,111.1200,66.3200
2012-12-24,142.3500,160.6200,111.1300,65.6100
2012-12-26,141.7500,160.7800,111.0500,65.3000
2012-12-27,141.5600,161.1600,111.1100,65.5400
2012-12-28,140.0300,160.5400,111.2800,65.1100
2012-12-31,142.4100,162.0200,111.0800,65.8000
2013-01-02,146.0600,163.1700,110.9500,66.6200
2013-01-03,145.7300,161.2000,110.6700,66.6100
2013-01-04,146.3700,160.4400,110.7900,66.9200
2013-01-07,145.9700,159.4300,110.7300,67.0700
2013-01-08,145.5500,160.5600,110.8300,66.9400
2013-01-09,145.9200,160.4900,110.7500,67.1300
2013-01-10,147.0800,161.9800,110.7400,67.2000
2013-01-11,147.0700,161.0600,110.8500,67.1600
2013-01-14,146.9700,161.5400,110.9500,67.3500
2013-01-15,147.0700,162.5600,110.9800,67.6700
2013-01-16,147.0500,162.6500,111.0400,67.5900
2013-01-17,148.0000,163.3500,110.8000,67.8000
2013-01-18,148.3300,163.0900,110.9300,68.0900
2013-01-22,149.1300,163.6700,110.8700,68.4400
2013-01-23,149.3700,163.2100,110.9900,68.4200
2013-01-24,149.4100,161.4200,110.8400,68.5600
2013-01-25,150.2500,160.6500,110.5700,68.9500
2013-01-28,150.0700,160.2900,110.4100,69.1300
2013-01-29,150.6600,160.9900,110.3400,69.3300
2013-01-30,150.0700,162.1900,110.2900,68.6700
2013-01-31,149.7000,161.2000,110.3900,68.2600
2013-02-01,151.2400,161.4500,109.9400,68.6600
2013-02-04,149.5400,162.0000,110.2500,68.5000
2013-02-05,151.0500,161.9600,110.0200,68.3400
2013-02-06,151.1600,162.3900,110.2100,68.5800
2013-02-07,150.9600,161.8400,110.2500,68.2900
2013-02-08,151.8000,161.5700,110.2800,68.9200
2013-02-11,151.7700,159.7000,110.1700,69.0200
2013-02-12,152.0200,159.8900,110.1500,69.5400
2013-02-13,152.1500,159.0500,110.0400,69.5000
2013-02-14,152.2900,158.3500,110.2400,69.2100
2013-02-15,152.1100,155.7600,110.2500,69.2400
2013-02-19,153.2500,155.3300,110.1200,69.7900
2013-02-20,151.3400,151.4400,110.1900,69.3400
2013-02-21,150.4200,152.6200,110.2500,68.8200
2013-02-22,151.8900,152.9700,110.3100,69.5100
2013-02-25,149.0000,154.3400,110.7300,68.1900
2013-02-26,150.0200,156.2200,110.7000,68.6600
2013-02-27,151.9100,154.5700,110.7300,69.1600
2013-02-28,151.6100,153.0000,110.8300,69.0900
2013-03-01,152.1100,152.4400,110.6600,69.3200
2013-03-04,152.9200,152.3000,110.5800,69.8400
2013-03-05,154.2900,152.3800,110.4900,70.3900
2013-03-06,154.5000,153.2300,110.3700,70.1800
2013-03-07,154.7800,152.6900,110.1400,69.8500
2013-03-08,155.4400,152.7100,109.8200,69.9700
2013-03-11,156.0300,152.9900,109.8800,70.0300
2013-03-12,155.6800,154.1900,110.0800,69.7700
2013-03-13,155.9000,153.6600,109.9900,69.8400
2013-03-14,156.7300,153.6800,110.1100,70.2800
2013-03-15,155.8300,154.0000,110.2100,70.4400
2013-03-18,154.9700,155.3800,110.3100,70.0500
2013-03-19,154.6100,156.0800,110.4700,69.7100
2013-03-20,155.6900,155.3700,110.3500,69.9300
2013-03-21,154.3600,156.2500,110.3700,69.7200
2013-03-22,155.6000,155.5500,110.4100,69.5500
2013-03-25,154.9500,155.2400,110.3700,69.5600
2013-03-26,156.1900,154.7200,110.5000,70.1600
2013-03-27,156.1900,155.3600,110.7300,70.2900
2013-03-28,156.6700,154.4500,110.7300,70.5300
2013-04-01,156.0500,154.6700,110.5700,70.7400
2013-04-02,156.8200,152.4300,110.4500,70.9600
2013-04-03,155.2300,150.7300,110.5700,70.7100
2013-04-04,155.8600,150.2900,110.8800,71.8600
2013-04-05,155.1600,152.8100,111.2000,72.2500
2013-04-08,156.2100,152.1600,111.0100,72.8300
2013-04-09,156.7500,153.3400,111.0500,72.8400
2013-04-10,158.6700,150.7500,110.8200,73.2900
2013-04-11,159.1900,151.0500,110.8400,73.7200
2013-04-12,158.8000,143.9500,111.2000,73.9000
2013-04-15,155.1200,131.3100,111.2500,72.3700
2013-04-16,157.4100,132.8000,111.2500,73.5700
2013-04-17,155.1100,132.8700,111.2500,72.7900
2013-04-18,154.1400,134.3000,111.2300,72.6800
2013-04-19,155.4800,135.4700,111.2400,73.8000
2013-04-22,156.1700,137.9000,111.3800,73.7000
2013-04-23,157.7800,136.8800,111.3300,74.1100
2013-04-24,157.8800,138.3700,111.3100,74.2700
2013-04-25,158.5200,141.6300,111.2600,74.0200
2013-04-26,158.2400,140.9100,111.4900,73.7800
2013-04-29,159.3000,142.3000,111.5600,74.4100
2013-04-30,159.6800,142.7700,111.5400,75.2800
2013-05-01,158.2800,141.1100,111.3900,74.6800
2013-05-02,159.7500,141.9200,111.4000,75.1700
2013-05-03,161.3700,142.0900,110.9900,75.4700
2013-05-06,161.7800,142.1500,110.8100,75.8600
2013-05-07,162.6000,140.3800,110.7500,76.2800
2013-05-08,163.3400,142.4600,110.8500,76.3200
2013-05-09,162.8800,140.8100,110.7000,75.8200
2013-05-10,163.4100,139.6000,110.4800,76.1000
2013-05-13,163.5400,138.4300,110.3800,76.4600
2013-05-14,165.2300,137.8100,110.1200,76.7400
2013-05-15,166.1200,134.6300,110.2800,77.5000
2013-05-16,165.3400,134.0900,110.5800,77.1000
2013-05-17,166.9400,131.0700,110.3100,77.5300
2013-05-20,166.9300,135.1200,110.2000,77.7100
2013-05-21,167.1700,132.8800,110.2900,78.1500
2013-05-22,165.9300,131.9400,109.9200,76.2500
2013-05-23,165.4500,134.6100,109.8800,74.8200
2013-05-24,165.3100,133.7600,109.8800,74.6300
2013-05-28,166.3000,133.4900,109.2000,73.9900
2013-05-29,165.2200,134.8300,109.3500,72.4200
2013-05-30,165.8300,136.7000,109.3200,71.7400
2013-05-31,163.4500,133.9200,109.1100,70.7800
2013-06-03,164.3500,136.5100,108.9700,71.1800
2013-06-04,163.5600,135.2300,108.7300,70.1900
2013-06-05,161.2700,135.5200,108.6700,69.6100
2013-06-06,162.7300,136.5300,108.9500,70.7300
2013-06-07,164.8000,133.2800,108.6100,70.7400
2013-06-10,164.8000,133.9400,108.3900,70.1300
2013-06-11,163.1000,133.2500,108.4000,69.0900
2013-06-12,161.7500,134.2500,108.2200,68.1500
2013-06-13,164.2100,133.7400,108.7500,69.9200
2013-06-14,163.1800,134.4300,108.7800,70.1800
2013-06-17,164.4400,133.7700,108.7000,70.3800
2013-06-18,165.7400,132.1300,108.6600,70.7400
2013-06-19,163.4500,130.5900,107.9300,68.5700
2013-06-20,159.4000,123.6000,107.2100,65.7200
2013-06-21,159.0700,125.0500,106.6100,66.6100
2013-06-24,157.0600,123.9300,106.1800,65.6800
2013-06-25,158.5700,123.4700,106.3000,66.7800
2013-06-26,160.1400,118.2800,106.7500,67.7900
2013-06-27,161.0800,115.9400,107.2000,69.1500
2013-06-28,160.4200,119.1100,107.2100,68.7200
2013-07-01,161.3600,121.1300,107.1600,68.5700
2013-07-02,161.2100,120.0500,107.1600,69.6200
2013-07-03,161.2800,120.7400,107.0100,69.1600
2013-07-05,163.0200,118.0900,105.8400,68.8300
2013-07-08,163.9500,119.5100,106.3900,68.9000
2013-07-09,165.1300,120.6200,106.5000,69.8800
2013-07-10,165.1900,120.9500,106.2200,69.9100
2013-07-11,167.4400,124.2400,106.9300,71.6000
2013-07-12,167.5100,124.1300,106.8100,71.1600
2013-07-15,168.1500,124.1800,107.0400,71.4600
2013-07-16,167.5200,124.8900,107.2100,71.5100
2013-07-17,167.9500,123.3200,107.4400,71.7700
2013-07-18,168.8700,124.0100,107.2400,72.3800
2013-07-19,169.1700,125.1100,107.5200,72.3300
2013-07-22,169.5000,128.8400,107.6600,72.5500
2013-07-23,169.1400,129.7100,107.6000,72.4700
2013-07-24,168.5200,127.4800,107.2500,71.0600
